PROCEDURE,Original_Start_Time,Original_Stop_Time
CLAP,0.0,0.0
CPR (COMPRESSION),477.01645354635303,1087.1628371628808
CPR (BREATH),1087.1628371628808,1191.5980219780615
CPR (COMPRESSION),1191.5980219780615,1777.622457542435
CPR (BREATH),1777.622457542435,1915.5956043956126
CPR (COMPRESSION),1915.5956043956126,2525.6515684316387
CPR (BREATH),2525.6515684316387,2687.7457042956867
CPR (COMPRESSION),2687.7457042956867,3299.803336663285
CPR (BREATH),3299.803336663285,3429.317892107908
CPR (COMPRESSION),3429.317892107908,4053.6603896103848
CPR (BREATH),4053.6603896103848,4209.835924075932
CPR (COMPRESSION),4209.835924075932,4809.700129870082
CPR (BREATH),4809.700129870082,4985.633076923057
CPR (COMPRESSION),4985.633076923057,5636.78796203788
CPR (BREATH),5636.78796203788,5789.734525474473
CPR (COMPRESSION),5789.734525474473,6150.089580419648
CPR (BREATH),6397.907472527405,6544.398611388585
CPR (COMPRESSION),6544.398611388585,7163.122747252827
CPR (BREATH),7163.122747252827,7330.357612387582
CPR (COMPRESSION),7330.357612387582,7964.146303696268
CPR (BREATH),7964.146303696268,8089.266743256819
CPR (COMPRESSION),8089.266743256819,8675.889020979066
CPR (BREATH),8675.889020979066,8812.785524475497
CPR (COMPRESSION),8812.785524475497,9398.928701298686
CPR (BREATH),9398.928701298686,9541.235274725197
SWAB AREA WITH ALCOHOL,16962.31084915079,17415.86361638367
IO LINE,17650.91895104894,20866.249600399646
DRAW MEDICATION,21618.058711288715,21871.068941058817
ADMINISTER MEDICATION,21871.068941058817,22702.072447552513
COMBAT TOURNIQUET,28690.951828171896,30097.499640359565
SPLINTING,33423.21641358633,34397.71693306701
COMBAT GAUZE,34994.572327672315,36578.540259740315
WRAP HEAD WOUND,37456.94772227773,39146.064725274635
SWAB AREA WITH ALCOHOL,43838.27742257742,44267.633436563316
DRAW MEDICATION,44656.757412587474,45450.728481518454
ADMINISTER MEDICATION,45450.728481518454,45895.35797202801
VITAL CHECKING,49688.39172827159,51162.740469530385
ECG LEADS,51487.75642357637,55372.825804195774
PULSE-OX,55791.33551448543,56059.95131868119
BLOOD-PRESSURE CUFF,56240.54262737253,58212.5774025973
ORAL AIRWAY,61535.011348651344,61807.66147852148
BAGGING,62645.1594305693,80697.75578421583
INTUBATION,82813.61499500507,83881.80641358635
ORAL AIRWAY,85517.27664335654,85694.10299700292
KING AIRWAY,88478.76029970037,89069.8253946053
ORAL AIRWAY,90300.16678321683,90524.24844155832
IV TOURNIQUET,99183.89919080918,99585.46480519488
SWAB AREA WITH ALCOHOL,99585.46480519488,100046.57121878116
IV LINE,100046.57121878116,104524.41026973014
SWAB AREA WITH ALCOHOL,105997.36552447558,106293.36137862141
DRAW MEDICATION,106293.36137862141,106613.98621378625
ADMINISTER MEDICATION,106613.98621378625,107861.45490509484
IV TOURNIQUET,113148.82027972034,113569.75429570423
SWAB AREA WITH ALCOHOL,113569.75429570423,114493.93807192796
IV LINE,114493.93807192796,119137.8718081917
DRAW MEDICATION,119774.34005993995,120119.38366633373
SWAB AREA WITH ALCOHOL,120119.38366633373,120422.55302697301
ADMINISTER MEDICATION,120422.55302697301,121518.12326673315
SWAB AREA WITH ALCOHOL,127225.82484515493,127668.22012987015
IM ADMINISTRATION,127668.22012987015,128455.32998001993
CHEST-TUBE PREP,128455.32998001993,129217.81219780206
CHEST-TUBE,129217.81219780206,130996.56722277713
SUTURING,130996.56722277713,136224.00425574434
VITAL CHECKING,141014.95204795193,142130.4318281719
BLOOD-PRESSURE CUFF,142347.5814185813,145920.34195804197
ECG LEADS,146101.83224775223,146431.87561438562
PULSE-OX,146612.70902097903,148643.6631368632
IV TOURNIQUET,154333.18945054934,155164.12711288713
SWAB AREA WITH ALCOHOL,155164.12711288713,155810.19554445558
IV LINE,155810.19554445558,160086.32208791215
SWAB AREA WITH ALCOHOL,161232.5978121879,161411.0998201798
DRAW MEDICATION,161411.0998201798,161981.15844155842
ADMINISTER MEDICATION,161981.15844155842,162852.2084415583
SWAB AREA WITH ALCOHOL,166496.07590409595,167020.076133866
IV TOURNIQUET,167020.076133866,167623.9693606394
IV LINE,167623.9693606394,171921.07975024963
SWAB AREA WITH ALCOHOL,172690.32281718287,172786.7175224774
DRAW MEDICATION,172786.7175224774,173631.01519480525
ADMINISTER MEDICATION,173631.01519480525,174437.7423776223
SWAB AREA WITH ALCOHOL,177513.85993006986,177821.87361638361
DRAW MEDICATION,177821.87361638361,178217.28602397593
IM ADMINISTRATION,178217.28602397593,178441.55004995005
SWAB AREA WITH ALCOHOL,181220.12925074913,181555.04568431567
IO LINE,181555.04568431567,184261.5677922078
SWAB AREA WITH ALCOHOL,184848.45434565438,185237.20141858136
ADMINISTER MEDICATION,185237.20141858136,186078.7192807193
COMBAT TOURNIQUET,189242.38579420568,191557.17539460538
SPLINTING,192330.49342657343,194570.88350649338
COMBAT GAUZE,194751.36752247752,196205.4782217782
WRAP HEAD WOUND,196706.6449450548,198227.08021978027
SWAB AREA WITH ALCOHOL,203611.37433566438,204034.9448751248
IM ADMINISTRATION,204034.9448751248,205292.5947452546
CHEST-TUBE PREP,205292.5947452546,207387.9405494505
CHEST-TUBE,207387.9405494505,210059.23687312694
SUTURING,210059.23687312694,212473.8662337661
