PROCEDURE,Original_Start_Time,Original_Stop_Time
CLAP,0.0,0.0
ORAL AIRWAY,382.6524875124802,534.0455844156645
BAGGING,1097.4239760240755,10134.310759240761
INTUBATION,11510.838641358616,12276.322387612467
INTUBATION-STYLETE,13654.386143856069,14171.931818181856
ORAL AIRWAY,15166.95380619384,15353.318301698324
KING AIRWAY,15838.500539460516,16385.423286713256
ORAL AIRWAY,17286.6388411588,17414.359420579425
COMBAT TOURNIQUET,21968.26768231767,22424.86903096911
SPLINTING,23154.040459540574,24189.285374625368
COMBAT GAUZE,24762.63644355655,25223.511878121953
WRAP HEAD WOUND,25696.70058941067,27037.53947052939
CHEST-TUBE PREP,31411.61922077914,31663.712877122893
DRAW MEDICATION,31663.712877122893,31972.993786213745
IM ADMINISTRATION,32487.49264735269,33137.39262737256
CHEST-TUBE,33137.39262737256,34565.897052947126
SUTURING,34565.897052947126,37658.004695304655
CPR (COMPRESSION),41797.94901098906,42127.87615384613
CPR (BREATH),42127.87615384613,42264.41412587412
CPR (COMPRESSION),42264.41412587412,42669.15440559438
CPR (BREATH),42669.15440559438,42808.471978022026
CPR (COMPRESSION),42808.471978022026,43224.00440559436
CPR (BREATH),43224.00440559436,43353.91351648344
CPR (COMPRESSION),43353.91351648344,43821.454465534596
CPR (BREATH),43821.454465534596,43982.0240259741
CPR (COMPRESSION),43982.0240259741,44414.35285714286
CPR (BREATH),44414.35285714286,44575.31133866146
CPR (COMPRESSION),44575.31133866146,45001.18483516493
CPR (BREATH),45001.18483516493,45167.70233766239
CPR (COMPRESSION),45167.70233766239,45591.78278721289
CPR (BREATH),45591.78278721289,45736.41986013991
CPR (COMPRESSION),45736.41986013991,46146.51200799197
CPR (BREATH),46146.51200799197,46292.10662337667
CPR (COMPRESSION),46292.10662337667,46700.40401598412
CPR (BREATH),46700.40401598412,46874.005414585394
CPR (COMPRESSION),46874.005414585394,47318.05207792216
CPR (BREATH),47318.05207792216,47474.46758241758
CPR (COMPRESSION),47474.46758241758,47924.96964035971
CPR (BREATH),47924.96964035971,48047.60910089914
CPR (COMPRESSION),48047.60910089914,48513.86349650345
CPR (BREATH),48513.86349650345,48665.55665334666
CPR (COMPRESSION),48665.55665334666,49133.72442557445
CPR (BREATH),49133.72442557445,49275.82075924086
