PROCEDURE,Original_Start_Time,Original_Stop_Time
CLAP,0.0,116.63100899096679
IO LINE,721.774735264718,1937.8518281717136
MEDICATION,2272.4749750248975,2466.754465534356
DRAW MEDICATION,2466.754465534356,3012.606593406449
SWAB AREA WITH ALCOHOL,3012.606593406449,3213.7666633364847
ADMINISTER MEDICATION,3213.7666633364847,3491.11717282706
ORAL AIRWAY,7069.613586413557,7211.921088911094
ORAL AIRWAY,7552.487382617347,7673.721458541421
DRAW MEDICATION,10504.363156843056,10705.253286713134
SWAB AREA WITH ALCOHOL,10705.253286713134,10824.096173826176
IM ADMINISTRATION,10824.096173826176,10954.806293706166
VITAL CHECKING,13914.542667332573,14863.404725274722
PULSE-OX,15066.178171828078,15166.190289710248
ECG LEADS,15287.783616383515,17846.3724275723
BLOOD-PRESSURE CUFF,18216.82906093895,19354.357942057766
CHEST-TUBE,23867.96577422563,24053.10581418567
SWAB AREA WITH ALCOHOL,24053.10581418567,24592.681858141783
DRAW MEDICATION,24592.681858141783,25195.653266733112
IM ADMINISTRATION,25195.653266733112,27338.23378621375
CHEST-TUBE,27338.23378621375,27521.93787212777
SUTURING,27521.93787212777,30790.04220779223
ORAL AIRWAY,35984.350789210665,36137.35702297685
BAGGING,36676.81831168818,54983.280749250596
INTUBATION,56369.4619480519,58216.281338661305
KING AIRWAY,61605.89844155846,62201.36829170821
ORAL AIRWAY,63676.77851148847,63925.58034965029
ORAL AIRWAY,64169.60274725267,64293.228011988
CPR (COMPRESSION),67463.9101798202,68150.36532467531
CPR (BREATH),68150.36532467531,68446.09843156842
CPR (COMPRESSION),68446.09843156842,69167.94323676315
CPR (BREATH),69167.94323676315,69489.56025974026
CPR (COMPRESSION),69489.56025974026,70019.39043956045
CPR (BREATH),70019.39043956045,70281.07786213778
CPR (COMPRESSION),70281.07786213778,70812.58381618366
CPR (BREATH),70812.58381618366,71057.17315684301
CPR (COMPRESSION),71057.17315684301,71414.65888111872
CPR (BREATH),71414.65888111872,71716.54822177817
CPR (COMPRESSION),71716.54822177817,72200.60796203795
CPR (BREATH),72200.60796203795,72421.2992607392
CPR (COMPRESSION),72421.2992607392,72921.98814185799
CPR (BREATH),72921.98814185799,73180.86626373616
CPR (COMPRESSION),73180.86626373616,73666.66840159833
CPR (BREATH),73666.66840159833,73905.07216783211
CPR (COMPRESSION),73905.07216783211,74383.10271728264
CPR (BREATH),74383.10271728264,74629.99453546439
CPR (COMPRESSION),74629.99453546439,75135.6745054944
CPR (BREATH),75135.6745054944,75411.02262737244
CPR (COMPRESSION),75411.02262737244,75899.9930769231
CPR (BREATH),75899.9930769231,76148.37944055944
CPR (COMPRESSION),76148.37944055944,76483.56707292698
DRAW MEDICATION,79936.05392607393,80253.36764235755
ADMINISTER MEDICATION,80253.36764235755,80560.30771228754
CHEST-TUBE PREP,80560.30771228754,80924.04056943052
CHEST-TUBE,80924.04056943052,82268.82431568418
SUTURING,82268.82431568418,85323.6218181817
IV TOURNIQUET,90411.3153746253,91128.67747252747
SWAB AREA WITH ALCOHOL,91128.67747252747,91454.59861138849
IV LINE,91454.59861138849,93037.956173826
SWAB AREA WITH ALCOHOL,93358.86506493489,93750.69452547436
DRAW MEDICATION,93750.69452547436,93827.33187812177
