PROCEDURE,Original_Start_Time,Original_Stop_Time
CLAP,0.0,0.0
DRAW MEDICATION,1010.0442257741754,1082.4370129871072
SWAB AREA WITH ALCOHOL,1376.0473426573099,1622.9696103895635
IM ADMINISTRATION,1622.9696103895635,2271.5530369631133
CHEST-TUBE,2271.5530369631133,6014.146543456519
SUTURING,6014.146543456519,13416.420839160897
IV TOURNIQUET,20586.96578421589,21146.098981018975
SWAB AREA WITH ALCOHOL,21146.098981018975,21344.897742257723
IV LINE,21344.897742257723,26338.416413586434
DRAW MEDICATION,27285.29409590405,27510.42599400611
ADMINISTER MEDICATION,27510.42599400611,28005.943306693385
IV TOURNIQUET,30786.76453546466,31722.173766233696
SWAB AREA WITH ALCOHOL,31722.173766233696,32580.94501498513
IV LINE,32580.94501498513,35490.924875124976
DRAW MEDICATION,35819.95702297696,35990.898491508415
ADMINISTER MEDICATION,35990.898491508415,36568.79184815185
PULSE-OX,40823.34899100899,41092.08959040971
ECG LEADS,41199.7236563436,43245.159890109964
VITAL CHECKING,43266.83115884108,44782.58469530473
BLOOD-PRESSURE CUFF,44859.64126873133,46762.682157842224
ORAL AIRWAY,49621.84189810186,49879.88355644365
ORAL AIRWAY,50445.97150849152,54125.10749250745
ORAL AIRWAY,54729.222467532425,54938.0343956044
COMBAT TOURNIQUET,61546.631418581404,62823.534725274774
COMBAT TOURNIQUET,63946.892757242735,64978.27813186823
SPLINTING,65835.49537462532,68093.99922077931
COMBAT GAUZE,68978.74981018977,69346.03882117887
WRAP HEAD WOUND,69740.5056443556,71224.79874125884
DRAW MEDICATION,74320.90945054959,74406.03701298697
SWAB AREA WITH ALCOHOL,74661.5962837164,75008.858931069
IM ADMINISTRATION,75008.858931069,75339.0850549451
SWAB AREA WITH ALCOHOL,78443.2739760239,78608.02897102901
IO LINE,78608.02897102901,82217.7318581419
DRAW MEDICATION,82720.0939960041,82920.20877122888
ADMINISTER MEDICATION,82920.20877122888,83419.01403596399
DRAW MEDICATION,87743.68021978023,87963.64183816183
SWAB AREA WITH ALCOHOL,87963.64183816183,88354.81327672338
IM ADMINISTRATION,88354.81327672338,88979.7535264736
CHEST-TUBE,88979.7535264736,91328.26564435575
